t_nm,k_c_k_mu,k_c_k_un,k_fe_l_mu,k_fe_l_un,k_fe_k_mu,k_fe_k_un
0.1,0.00193,0.00001,0.99693,0.00027,1.00153,0.00030
1,0.00245,0.00001,0.99137,0.00027,0.99899,0.00030
5,0.00489,0.00002,0.98485,0.00027,0.99555,0.00030
10,0.00788,0.00002,0.98027,0.00027,0.99389,0.00030
15,0.01088,0.00002,0.97498,0.00027,0.99302,0.00030
20,0.01398,0.00002,0.96917,0.00027,0.98912,0.00029
25,0.01704,0.00002,0.96596,0.00027,0.98903,0.00029
30,0.02004,0.00002,0.95821,0.00027,0.98670,0.00029
35,0.02315,0.00002,0.95326,0.00027,0.98461,0.00029
40,0.02627,0.00002,0.94658,0.00027,0.98144,0.00029
45,0.02960,0.00002,0.93451,0.00026,0.97495,0.00029
50,0.03254,0.00002,0.93321,0.00026,0.97581,0.00029
60,0.03910,0.00002,0.92245,0.00026,0.97177,0.00029
70,0.04542,0.00003,0.91339,0.00026,0.96932,0.00029
80,0.05187,0.00003,0.89859,0.00026,0.96208,0.00029
90,0.05832,0.00003,0.88725,0.00026,0.95696,0.00029
100,0.06461,0.00003,0.87466,0.00025,0.95124,0.00029
110,0.07144,0.00003,0.86239,0.00025,0.94743,0.00029
120,0.07809,0.00003,0.84818,0.00025,0.94000,0.00029
130,0.08489,0.00003,0.83826,0.00025,0.93589,0.00029
140,0.09070,0.00003,0.82893,0.00025,0.93148,0.00029
150,0.09634,0.00003,0.82118,0.00025,0.92746,0.00029
160,0.10337,0.00003,0.80861,0.00024,0.92080,0.00028
170,0.11003,0.00004,0.79652,0.00024,0.91708,0.00028
180,0.11601,0.00004,0.78414,0.00024,0.91058,0.00028
190,0.12344,0.00004,0.77502,0.00024,0.90671,0.00028
200,0.12994,0.00004,0.76523,0.00024,0.90094,0.00028
