t_nm,k_c_k_mu,k_c_k_un,k_fe_l_mu,k_fe_l_un
0.1,0.00656,0.00004,0.99331,0.00056
1,0.00975,0.00004,0.99325,0.00056
5,0.02374,0.00005,0.97704,0.00055
10,0.04224,0.00005,0.95759,0.00055
15,0.06127,0.00006,0.94160,0.00055
20,0.08134,0.00006,0.91942,0.00054
25,0.10107,0.00006,0.90060,0.00054
30,0.12028,0.00007,0.88255,0.00053
35,0.13983,0.00007,0.86819,0.00053
40,0.16039,0.00007,0.84567,0.00052
45,0.18080,0.00008,0.82668,0.00052
50,0.20031,0.00008,0.80611,0.00051
60,0.24066,0.00008,0.76614,0.00050
70,0.28285,0.00009,0.72431,0.00049
80,0.32393,0.00010,0.68154,0.00048
90,0.36617,0.00010,0.63967,0.00046
100,0.40253,0.00010,0.60016,0.00045
110,0.44241,0.00011,0.55770,0.00044
120,0.47721,0.00011,0.51885,0.00042
130,0.51195,0.00012,0.47962,0.00041
140,0.54889,0.00012,0.43794,0.00040
150,0.57990,0.00012,0.40054,0.00038
160,0.60889,0.00012,0.36668,0.00037
170,0.64456,0.00013,0.32642,0.00035
180,0.67711,0.00013,0.29053,0.00033
190,0.70528,0.00013,0.25979,0.00032
200,0.73581,0.00014,0.22620,0.00030
