 #  Results from PENEPMA. Phi rho z distribution.
 #
 #  Z = 29, S1 =  1, S2 =  4
 #
 #  Angular intervals : theta_1 = 4.000000E+01,  theta_2 = 6.000000E+01
 #                        phi_1 = 0.000000E+00,    phi_2 = 3.600000E+02
 #
 # Intensities of characteristic lines. All in 1/(cm*sr*electron).
 #    P = primary photons (from electron interactions);
 #    C = flourescence from characteristic x rays;
 #    B = flourescence from bremsstrahlung quanta;
 #   TF = C+B, total fluorescence;
 #    T = P+C+B, total intensity;
 #    E = emitted; G = generated;
 #  unc = statistical uncertainty (3 sigma).
 #
 # D (cm)     DF (cm)    PE            unc       PG            unc       CE            unc       CG            unc       BE            unc       BG            unc       TFE           unc       TFG           unc       TE            unc       TG            unc
   0.000E+00  0.000E+00  1.224298E+00  1.26E+00  1.221273E+00  2.30E-02  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  1.570672E-02  2.17E-04  1.557079E-02  7.90E-05  1.570672E-02  2.17E-04  1.557079E-02  7.90E-05  9.261532E-01  2.44E-01  9.196908E-01  8.86E-02
   6.616E-07  1.323E-05  1.263021E+00  1.28E+00  1.237111E+00  2.32E-02  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  1.704078E-02  2.26E-04  1.726326E-02  8.32E-05  1.704078E-02  2.26E-04  1.726326E-02  8.32E-05  1.099964E+00  2.66E-01  1.008502E+00  9.28E-02
   1.323E-06  2.646E-05  8.482868E-01  1.05E+00  8.493403E-01  1.92E-02  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  1.634786E-02  2.22E-04  1.667768E-02  8.18E-05  1.634786E-02  2.22E-04  1.667768E-02  8.18E-05  1.071333E+00  2.62E-01  1.035804E+00  9.41E-02
   1.985E-06  3.969E-05  4.932657E-01  8.02E-01  4.962789E-01  1.47E-02  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  1.471044E-02  2.10E-04  1.510725E-02  7.79E-05  1.471044E-02  2.10E-04  1.510725E-02  7.79E-05  1.187087E+00  2.76E-01  1.162151E+00  9.98E-02
   2.646E-06  5.293E-05  2.294428E-01  5.48E-01  2.459491E-01  1.03E-02  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  1.283680E-02  1.96E-04  1.327408E-02  7.30E-05  1.283680E-02  1.96E-04  1.327408E-02  7.30E-05  9.630980E-01  2.49E-01  1.096810E+00  9.68E-02
   3.308E-06  6.616E-05  1.009693E-01  3.63E-01  1.043202E-01  6.73E-03  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  1.121575E-02  1.84E-04  1.166591E-02  6.84E-05  1.121575E-02  1.84E-04  1.166591E-02  6.84E-05  1.245732E+00  2.83E-01  1.167480E+00  9.99E-02
   3.969E-06  7.939E-05  3.691350E-02  2.19E-01  3.817530E-02  4.07E-03  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  9.713966E-03  1.71E-04  1.028303E-02  6.42E-05  9.713966E-03  1.71E-04  1.028303E-02  6.42E-05  1.318105E+00  2.91E-01  1.241742E+00  1.03E-01
   4.631E-06  9.262E-05  1.158071E-02  1.23E-01  1.155369E-02  2.24E-03  0.000000E+00  0.00E+00  4.814036E-05  1.44E-04  8.582702E-03  1.61E-04  9.224273E-03  6.08E-05  8.582702E-03  1.61E-04  9.272413E-03  2.05E-04  1.441076E+00  3.05E-01  1.257277E+00  1.04E-01
   5.293E-06  1.059E-04  2.895177E-03  6.14E-02  2.695860E-03  1.08E-03  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  7.793223E-03  1.53E-04  8.385949E-03  5.79E-05  7.793223E-03  1.53E-04  8.385949E-03  5.79E-05  1.130393E+00  2.69E-01  1.242264E+00  1.03E-01
   5.954E-06  1.191E-04  0.000000E+00  0.00E+00  1.444211E-04  2.50E-04  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  7.101636E-03  1.46E-04  7.712241E-03  5.56E-05  7.101636E-03  1.46E-04  7.712241E-03  5.56E-05  1.296585E+00  2.89E-01  1.289421E+00  1.05E-01
   6.616E-06  1.323E-04  0.000000E+00  0.00E+00  9.628071E-05  2.04E-04  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  6.481880E-03  1.40E-04  7.119108E-03  5.34E-05  6.481880E-03  1.40E-04  7.119108E-03  5.34E-05  1.123101E+00  2.69E-01  1.245055E+00  1.03E-01
   7.277E-06  1.455E-04  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  6.079289E-03  1.35E-04  6.697791E-03  5.18E-05  6.079289E-03  1.35E-04  6.697791E-03  5.18E-05  1.232138E+00  2.81E-01  1.270574E+00  1.04E-01
   7.939E-06  1.588E-04  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  5.527689E-03  1.29E-04  6.222875E-03  4.99E-05  5.527689E-03  1.29E-04  6.222875E-03  4.99E-05  1.499761E+00  3.11E-01  1.314961E+00  1.06E-01
   8.600E-06  1.720E-04  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  5.278116E-03  1.26E-04  5.852978E-03  4.84E-05  5.278116E-03  1.26E-04  5.852978E-03  4.84E-05  1.333549E+00  2.93E-01  1.291055E+00  1.05E-01
   9.262E-06  1.852E-04  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  3.618971E-04  1.09E-03  4.814036E-05  1.44E-04  4.919293E-03  1.22E-04  5.528635E-03  4.70E-05  5.281190E-03  1.21E-03  5.576775E-03  1.91E-04  1.247062E+00  2.83E-01  1.353734E+00  1.08E-01
   9.924E-06  1.985E-04  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  4.577508E-03  1.17E-04  5.226380E-03  4.58E-05  4.577508E-03  1.17E-04  5.226380E-03  4.58E-05  1.189552E+00  2.76E-01  1.325841E+00  1.07E-01
   1.059E-05  2.117E-04  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  4.281161E-03  1.13E-04  4.972701E-03  4.46E-05  4.281161E-03  1.13E-04  4.972701E-03  4.46E-05  1.355551E+00  2.95E-01  1.427943E+00  1.11E-01
   1.125E-05  2.249E-04  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  4.008869E-03  1.10E-04  4.717644E-03  4.35E-05  4.008869E-03  1.10E-04  4.717644E-03  4.35E-05  1.449797E+00  3.06E-01  1.352917E+00  1.08E-01
   1.191E-05  2.382E-04  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  3.801059E-03  1.07E-04  4.480319E-03  4.24E-05  3.801059E-03  1.07E-04  4.480319E-03  4.24E-05  1.341649E+00  2.94E-01  1.322580E+00  1.06E-01
   1.257E-05  2.514E-04  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  3.621647E-03  1.04E-04  4.255306E-03  4.13E-05  3.621647E-03  1.04E-04  4.255306E-03  4.13E-05  1.348406E+00  2.95E-01  1.411070E+00  1.10E-01
   1.323E-05  2.646E-04  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  3.390450E-03  1.01E-04  4.083534E-03  4.05E-05  3.390450E-03  1.01E-04  4.083534E-03  4.05E-05  1.565344E+00  3.18E-01  1.397601E+00  1.09E-01
   1.389E-05  2.779E-04  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  3.164932E-03  9.76E-05  3.876698E-03  3.94E-05  3.164932E-03  9.76E-05  3.876698E-03  3.94E-05  1.377017E+00  2.98E-01  1.357028E+00  1.08E-01
   1.455E-05  2.911E-04  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  4.814036E-05  1.44E-04  2.966476E-03  9.44E-05  3.685460E-03  3.84E-05  2.966476E-03  9.44E-05  3.733601E-03  1.83E-04  1.269250E+00  2.86E-01  1.342791E+00  1.07E-01
   1.522E-05  3.043E-04  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  2.868585E-03  9.29E-05  3.565109E-03  3.78E-05  2.868585E-03  9.29E-05  3.565109E-03  3.78E-05  1.356626E+00  2.95E-01  1.363203E+00  1.08E-01
   1.588E-05  3.176E-04  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  2.721247E-03  9.05E-05  3.410626E-03  3.70E-05  2.721247E-03  9.05E-05  3.410626E-03  3.70E-05  1.385364E+00  2.99E-01  1.360237E+00  1.08E-01
   1.654E-05  3.308E-04  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  2.651420E-03  8.93E-05  3.259477E-03  3.61E-05  2.651420E-03  8.93E-05  3.259477E-03  3.61E-05  1.276501E+00  2.86E-01  1.309401E+00  1.06E-01
   1.720E-05  3.440E-04  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  2.491386E-03  8.66E-05  3.153303E-03  3.55E-05  2.491386E-03  8.66E-05  3.153303E-03  3.55E-05  1.435796E+00  3.04E-01  1.319152E+00  1.06E-01
