 #  Results from PENEPMA. Phi rho z distribution.
 #
 #  Z =  8, S1 =  1, S2 =  4
 #
 #  Angular intervals : theta_1 = 4.000000E+01,  theta_2 = 6.000000E+01
 #                        phi_1 = 0.000000E+00,    phi_2 = 3.600000E+02
 #
 # Intensities of characteristic lines. All in 1/(cm*sr*electron).
 #    P = primary photons (from electron interactions);
 #    C = flourescence from characteristic x rays;
 #    B = flourescence from bremsstrahlung quanta;
 #   TF = C+B, total fluorescence;
 #    T = P+C+B, total intensity;
 #    E = emitted; G = generated;
 #  unc = statistical uncertainty (3 sigma).
 #
 # D (cm)     DF (cm)    PE            unc       PG            unc       CE            unc       CG            unc       BE            unc       BG            unc       TFE           unc       TFG           unc       TE            unc       TG            unc
   0.000E+00  0.000E+00  2.141673E+00  4.89E+00  2.362110E+00  9.38E-02  3.414261E-02  3.09E-02  4.624303E-02  1.31E-02  7.039290E-04  1.18E-04  7.491508E-04  4.44E-05  3.484654E-02  3.10E-02  4.699218E-02  1.32E-02  1.738885E+00  9.85E-01  1.759489E+00  3.62E-01
   1.994E-07  3.989E-06  1.555041E+00  4.17E+00  2.009507E+00  8.66E-02  1.551937E-02  2.08E-02  3.592092E-02  1.16E-02  5.903775E-04  1.08E-04  7.839297E-04  4.54E-05  1.610975E-02  2.09E-02  3.670485E-02  1.16E-02  1.862861E+00  1.02E+00  1.883339E+00  3.74E-01
   3.989E-07  7.977E-06  3.972958E-01  2.11E+00  5.644126E-01  4.58E-02  3.103874E-03  9.31E-03  1.079217E-02  6.32E-03  2.381765E-04  6.72E-05  3.448970E-04  2.98E-05  3.342050E-03  9.38E-03  1.113707E-02  6.35E-03  1.738601E+00  9.85E-01  1.842185E+00  3.70E-01
   5.983E-07  1.197E-05  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  2.483740E+00  1.18E+00  2.098108E+00  3.96E-01
   7.977E-07  1.595E-05  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  1.490336E+00  9.12E-01  2.271549E+00  4.11E-01
   9.972E-07  1.994E-05  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  1.862727E+00  1.02E+00  2.122946E+00  3.97E-01
   1.197E-06  2.393E-05  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  2.484038E+00  1.18E+00  2.519333E+00  4.33E-01
   1.396E-06  2.792E-05  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  2.421856E+00  1.16E+00  2.346027E+00  4.17E-01
   1.595E-06  3.191E-05  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  2.483576E+00  1.18E+00  2.585303E+00  4.38E-01
   1.795E-06  3.590E-05  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  2.359510E+00  1.15E+00  2.527617E+00  4.33E-01
